Date,Game 1,Game 2,Game 3,Series,Total Pins,Number Games
9/10/2018,171,142,174,487,487,3
9/17/2018,243,179,217,639,1126,6
9/24/2018,190,236,179,605,1731,9
10/1/2018,158,143,143,444,2175,12
10/8/2018,180,154,160,494,2669,15
10/15/2018,171,167,182,520,3189,18
10/22/2018,154,165,173,492,3681,21
10/29/2018,177,210,199,586,4267,24
11/5/2018,150,214,168,532,4799,27
11/12/2018,165,204,169,538,5337,30
11/19/2018,193,236,168,597,5934,33
11/26/2018,203,215,168,586,6520,36
12/3/2018,218,194,152,564,7084,39
12/10/2018,183,210,167,560,7644,42
12/17/2018,124,118,137,379,8023,45
1/7/2019,160,194,194,548,8571,48
1/14/2019,133,147,195,475,9046,51
1/21/2019,178,175,184,537,9583,54
1/28/2019,182,168,178,528,10111,57
2/4/2019,203,148,169,520,10631,60
2/11/2019,180,181,184,545,11176,63
2/18/2019,179,164,170,513,11689,66
2/25/2019,267,165,189,621,12310,69
3/4/2019,245,204,224,673,12983,72
3/11/2019,222,192,194,608,13591,75
3/18/2019,176,206,198,580,14171,78
3/25/2019,198,184,204,586,14757,81
4/1/2019,161,194,177,532,15289,84
4/8/2019,225,178,179,582,15871,87
4/15/2019,217,228,192,637,16508,90
